task_id,task_type,difficulty_level,probe_text,semantic_entropy_raw,semantic_entropy_normalized,mean_step_distance,direction_change,trajectory_drift_normalized,latent_load_score,runtime_ms,peak_memory_mb,status,error
code_L1_001,code_generation,1,"<think>
嗯，我现在需要写一个Python函数，输入是一个整数，然后返回'even'或者'odd'。首先，我得想怎么判断一个数是奇数还是偶",1.4717037295887678,0.7077398907785025,0.15277771016565916,0.7073772119398278,0.43007746105274347,56.8908675915623,2316.583652049303,15706.57763671875,success,
code_L2_002,code_generation,2,"<think>
好的，我现在需要解决的问题是编写一个Python函数，判断输入的字符串是否是回文。回文的定义是正着读和反着读一样，同时忽略空",0.39439769144744274,0.18966519786309374,0.1736079602713728,0.6931103169937196,0.4333591386325462,31.151216824781997,1448.0372529942542,15721.17236328125,success,
code_L3_003,code_generation,3,"<think>
好的，我现在需要解决这个问题：编写一个函数，输入一个整数列表，返回最长严格递增子序列的长度。比如例子中的[10,9,2,",1.105889879024763,0.5318206147461072,0.17323709558241998,0.7234741101188535,0.44835560285063675,49.00881087983719,1478.0510170385242,15749.75146484375,success,
code_L4_004,code_generation,4,"<think>
好的，我现在需要实现一个LRU缓存类，要求使用哈希表和双向链表，并且get和put操作的时间复杂度都是O(1)。首先，",1.2779914688584595,0.614583984806834,0.17459099045859292,0.700864176557464,0.4377275835080285,52.61557841574312,1530.8502609841526,15796.31591796875,success,
code_L5_005,code_generation,5,"<think>
好的，我现在需要设计并实现一个并发的速率限制器，使用令牌桶算法，满足用户提出的几个要求。首先，我得仔细理解每个需求，然后逐步思考如何",1.392321254757429,0.6695649898542807,0.0921415818839807,0.6724969067361658,0.38231924431007325,52.5942117082177,1552.4091001134366,15796.59716796875,success,
math_L1_006,math_reasoning,1,"<think>
嗯，好的，我现在要解决这个问题：一个商店卖苹果，每个2美元，玛丽买了5个苹果，她总共花了多少钱？首先，我需要理解题目中的各个部分",1.7339835697484476,0.8338698323530092,0.11663828772597663,0.6741995819057293,0.39541893481585294,61.464438358443104,1473.3141160104424,15701.91064453125,success,
math_L2_007,math_reasoning,2,"<think>
嗯，我现在要解决这个问题，就是火车先以60公里每小时的速度行驶了2.5小时，然后加速到80公里每小时又行驶了1.5",0.8556886672556694,0.41149926559821354,0.1590821260833228,0.692544020841799,0.4258130734625609,41.86561695303872,1477.8094189241529,15716.30126953125,success,
math_L3_008,math_reasoning,3,"<think>
嗯，我现在要解决这个问题，一个矩形的周长是28厘米，长度比宽度的两倍多3厘米，求面积。好，首先我得回忆一下",1.7127324378491742,0.8236501981515562,0.1268854441209095,0.703243501030904,0.4150644725759068,61.93573353637315,1476.1363519355655,15707.00732421875,success,
math_L4_009,math_reasoning,4,"<think>
好的，我现在要解决的问题是：在单词“MISSISSIPPI”的字母排列中，有多少种方式可以使得没有两个’S’字母相邻。首先，我需要理解这个问题",1.2779914688584595,0.614583984806834,0.10543210620306753,0.6720416264153815,0.3887368663092245,50.166042555802925,1455.671529052779,15706.14794921875,success,
math_L5_010,math_reasoning,5,"<think>
嗯，我现在要证明对于任何正整数n，n的五次方减n都是30的倍数。首先，我得理解这个问题。30可以分解成",1.5387680910402701,0.7399910313406582,0.1172549437422049,0.6951718768964358,0.40621341031932034,57.310222082998926,1464.7443459834903,15701.19140625,success,
qa_L1_011,knowledge_qa,1,"<think>
嗯，用户问的是法国的首都是哪里。这个问题看起来挺直接的，但作为刚开始学习地理的人，可能需要一步步来思考。首先，我得确认法国这个国家",1.5671808548329902,0.7536546824812272,0.1094781198150018,0.6884390390357632,0.3989585794253825,57.63066309533049,1464.8015131242573,15690.39892578125,success,
qa_L2_012,knowledge_qa,2,"<think>
嗯，我现在要解决这个问题，题目是问哪个细胞器负责在真核细胞中通过细胞呼吸产生ATP。选项是A到D，分别是核糖体、高尔",0.8260651866153444,0.39725338272699123,0.1633357562249231,0.6980758379674408,0.43070579709618195,41.39795899115866,1506.0877311043441,15717.740234375,success,
qa_L3_013,knowledge_qa,3,"<think>
好的，我现在要解决这个问题。首先，题目是关于一个45岁男性患者，有持续疲劳、口渴和频繁排尿两周，BMI是32，空腹",0.5181862130502128,0.249194893274858,0.1494786689128534,0.6902344187478405,0.419856543830347,33.452571855260246,1549.7647009324282,15763.9296875,success,
qa_L4_014,knowledge_qa,4,"<think>
好的，我现在要解决用户的问题，关于2018年美国最高法院的South Dakota v. Wayfair, Inc.案。首先，我需要确定用户的问题有几个部分",1.5387680910402701,0.7399910313406582,0.13111865995522728,0.7204064016805614,0.42576253081789434,58.28767810792763,1595.9819220006466,15741.34814453125,success,
qa_L5_015,knowledge_qa,5,"<think>
好的，我现在需要分析欧盟的AI法案（2024）和美国的AI行政命令（2023年10月）在监管方法上的异同，",0.9972715231823839,0.4795862269716694,0.1434551365644865,0.6890640720631196,0.41625960431380304,44.792291564273626,1954.8658791463822,15757.85302734375,success,
logic_L1_016,logical_reasoning,1,"<think>
嗯，我现在要解决这个类比题：“Dog is to Puppy as Cat is to ___?” 选项是A到D。首先，我得理解题目中的关系。类比",1.8217383933208382,0.8760709819470005,0.12686153951163556,0.7206687049848415,0.42376512224823853,64.99180520976195,1924.0764959249645,15709.54638671875,success,
