task_id,task_type,difficulty_level,probe_text,semantic_entropy_raw,semantic_entropy_normalized,mean_step_distance,direction_change,trajectory_drift_normalized,latent_load_score,runtime_ms,peak_memory_mb,status,error
code_L1_001,code_generation,1,"<think>
嗯，我现在需要写一个Python函数，输入是一个整数，然后返回'even'或者'odd'。首先，我得想怎么判断一个数是奇数还是偶数。对了，通常的方法是用模运算，也就是看这个数除以2的",1.339806374796202,0.6443106708899669,0.15401548504393542,0.6941013245111521,0.42405840477754375,53.41845378337553,3366.265080869198,15727.1171875,success,
code_L2_002,code_generation,2,"<think>
好的，我现在需要解决的问题是编写一个Python函数，判断输入的字符串是否是回文。回文的定义是正着读和反着读一样，同时忽略空格和大小写。比如例子中的'A man a plan a canal Panama'应该返回True。",1.4015348113097725,0.6739957739699527,0.16134488083384138,0.6985040825588151,0.42992448169632824,55.19601278331405,2345.97856993787,15749.93896484375,success,
code_L3_003,code_generation,3,"<think>
好的，我现在需要解决这个问题：编写一个函数，输入一个整数列表，返回最长严格递增子序列的长度。比如例子中的[10,9,2,5,3,7,101,18]，最长的是[2,3",1.2977856753505783,0.6241029859883379,0.16902733851981405,0.7219817779677582,0.4455045582437861,53.4803772116062,2491.546764038503,15764.24267578125,success,
code_L4_004,code_generation,4,"<think>
好的，我现在需要实现一个LRU缓存类，要求使用哈希表和双向链表，并且get和put操作的时间复杂度都是O(1)。首先，我得回忆一下LRU缓存的工作机制。LRU是当缓存满的时候，",1.7106523438842065,0.8226498844022755,0.16740897030255905,0.6894067933534095,0.4284078818279843,62.55288831151299,3109.4527600798756,15811.17529296875,success,
code_L5_005,code_generation,5,"<think>
好的，我现在需要设计并实现一个并发的速率限制器，使用令牌桶算法，满足用户提出的几个要求。首先，我得仔细理解每个需求，然后逐步思考如何实现。

首先，用户要求使用令牌桶算法，配置速率（每秒的令牌数）",1.6796025844117755,0.807718106398385,0.11359839357454474,0.685184469003307,0.39939143128892585,60.355476884365544,3054.331009974703,15811.44091796875,success,
math_L1_006,math_reasoning,1,"<think>
嗯，好的，我现在要解决这个问题：一个商店卖苹果，每个2美元，玛丽买了5个苹果，她总共花了多少钱？首先，我需要理解题目中的各个部分。题目说每个苹果2美元，玛丽买了5个，所以总花费应该是每个的价格乘",1.578505621026654,0.7591007438235025,0.1322984289938825,0.7016483578257159,0.4169733934097992,58.803706861665084,2679.946430027485,15722.80029296875,success,
math_L2_007,math_reasoning,2,"<think>
嗯，我现在要解决这个问题，就是火车先以60公里每小时的速度行驶了2.5小时，然后加速到80公里每小时又行驶了1.5小时，问总路程是多少。好，首先我得回忆一下关于速度、时间和距离的关系",1.5418756281093045,0.7414854407802831,0.13428185319019506,0.6755104655915183,0.40489615939085666,57.31908000855699,3056.684932904318,15747.16064453125,success,
math_L3_008,math_reasoning,3,"<think>
嗯，我现在要解决这个问题，一个矩形的周长是28厘米，长度比宽度的两倍多3厘米，求面积。好，首先我得回忆一下矩形的周长和面积的公式。周长应该是2*(长+宽)，对",1.4712184927171201,0.7075065411690417,0.13982040125226347,0.7049311958779209,0.42237579856509216,56.494116986706686,3244.791803881526,15727.8369140625,success,
math_L4_009,math_reasoning,4,"<think>
好的，我现在要解决的问题是：在单词“MISSISSIPPI”的字母排列中，有多少种方式可以使得没有两个’S’字母相邻。首先，我需要理解这个问题，然后一步步分析解决。

首先，我应该先确定单词“MISSISSIPPI”中",1.8146229831880736,0.8726491929761903,0.12031125428111815,0.6659858222611086,0.39314853827111335,63.28988656236518,2854.1814419440925,15726.39794921875,success,
math_L5_010,math_reasoning,5,"<think>
嗯，我现在要证明对于任何正整数n，n的五次方减n都是30的倍数。首先，我得理解这个问题。30可以分解成质因数的话是2×3×5，所以如果我能证明n⁵ -n",1.5542840390129138,0.7474526250722664,0.1403912415515722,0.6998898381430898,0.420140539847331,58.37965824597987,3035.3659510146827,15721.91357421875,success,
