task_id,task_type,difficulty_level,probe_text,semantic_entropy_raw,semantic_entropy_normalized,mean_step_distance,direction_change,trajectory_drift_normalized,latent_load_score,runtime_ms,peak_memory_mb,status,error
code_L1_001,code_generation,1,"<think>
嗯，我现在需要写一个Python函数，输入是一个整数，然后返回'even'或者'odd'。首先，我得想怎么判断一个数是奇数还是偶数。对了，通常的方法是用模运算，也就是看这个数除以2的",0.6128694524619496,0.294727906593063,0.1451186158231913,0.6850429498201599,0.4150807828216756,35.49043447073693,3379.1667700279504,15721.17138671875,success,
code_L2_002,code_generation,2,"<think>
好的，我现在需要解决的问题是编写一个Python函数，判断输入的字符串是否是回文。回文的定义是正着读和反着读一样，同时忽略空格和大小写。比如例子中的'A man a plan a canal Panama'应该返回True。",1.1872832254713435,0.5709625405060534,0.15163711642543154,0.6985867035813107,0.4251119100033711,49.80372252547123,2341.939877020195,15744.03271484375,success,
code_L3_003,code_generation,3,"<think>
好的，我现在需要解决这个问题：编写一个函数，输入一个整数列表，返回最长严格递增子序列的长度。比如例子中的[10,9,2,5,3,7,101,18]，最长的是[2,3",0.5004024235381879,0.24064269829578747,0.17200468809601124,0.7367918464834049,0.45439826728970806,34.752048279274774,2334.7331839613616,15757.85205078125,success,
code_L4_004,code_generation,4,"<think>
好的，我现在需要实现一个LRU缓存类，要求使用哈希表和双向链表，并且get和put操作的时间复杂度都是O(1)。首先，我得回忆一下LRU缓存的工作机制。LRU是当缓存满的时候，",0.8260651866153444,0.39725338272699123,0.16163937014519827,0.687958425441304,0.42479889779325114,41.10261402601212,2388.447054196149,15805.12841796875,success,
code_L5_005,code_generation,5,"<think>
好的，我现在需要设计并实现一个并发的速率限制器，使用令牌桶算法，满足用户提出的几个要求。首先，我得仔细理解每个需求，然后逐步思考如何实现。

首先，用户要求使用令牌桶算法，配置速率（每秒的令牌数）",1.1097385521061456,0.533671435268945,0.11010106220624861,0.6916768556765807,0.40088895894141463,46.728019710517984,2379.052141914144,15805.40966796875,success,
math_L1_006,math_reasoning,1,"<think>
嗯，好的，我现在要解决这个问题：一个商店卖苹果，每个2美元，玛丽买了5个苹果，她总共花了多少钱？首先，我需要理解题目中的各个部分。题目说每个苹果2美元，玛丽买了5个，所以总花费应该是每个的价格乘",0.8568409950394724,0.41205341812460394,0.13596571980074176,0.702149609361036,0.4190576645808889,41.55555413527464,2281.6113522276282,15716.30029296875,success,
math_L2_007,math_reasoning,2,"<think>
嗯，我现在要解决这个问题，就是火车先以60公里每小时的速度行驶了2.5小时，然后加速到80公里每小时又行驶了1.5小时，问总路程是多少。好，首先我得回忆一下关于速度、时间和距离的关系",0.9985793315873921,0.48021514987178215,0.10903936707697898,0.6697567690650805,0.3893980680710297,43.480660897140595,2298.2044350355864,15741.15771484375,success,
math_L3_008,math_reasoning,3,"<think>
嗯，我现在要解决这个问题，一个矩形的周长是28厘米，长度比宽度的两倍多3厘米，求面积。好，首先我得回忆一下矩形的周长和面积的公式。周长应该是2*(长+宽)，对",0.8018185525433373,0.3855932164823465,0.14379248389954813,0.7185342007846652,0.4311633423421067,40.837827941222656,2274.69221316278,15721.60107421875,success,
math_L4_009,math_reasoning,4,"<think>
好的，我现在要解决的问题是：在单词“MISSISSIPPI”的字母排列中，有多少种方式可以使得没有两个’S’字母相邻。首先，我需要理解这个问题，然后一步步分析解决。

首先，我应该先确定单词“MISSISSIPPI”中",1.1097385521061456,0.533671435268945,0.11143836360089003,0.6565191469802789,0.38397875529058445,45.882509527976474,2259.3804551288486,15720.74169921875,success,
math_L5_010,math_reasoning,5,"<think>
嗯，我现在要证明对于任何正整数n，n的五次方减n都是30的倍数。首先，我得理解这个问题。30可以分解成质因数的话是2×3×5，所以如果我能证明n⁵ -n",1.4877983800016512,0.7154797815570053,0.1508340897120418,0.7077677719752694,0.4293009308436556,57.23903562003305,2266.204194864258,15715.5810546875,success,
